TLD Rank	TLD	Count (Percent of Domains)	First Tranco Rank	Last Tranco Rank
1	com	3070958 (49.80%)	1	6166217
2	net	345294 (5.60%)	17	6166216
3	ru	291622 (4.73%)	95	6166059
4	org	285630 (4.63%)	13	6166219
5	info	172434 (2.80%)	417	6166220
6	in	105492 (1.71%)	103	6166170
7	ir	102094 (1.66%)	704	6166176
8	uk	91229 (1.48%)	83	6166160
9	au	84428 (1.37%)	482	6166066
10	de	70300 (1.14%)	120	6165980
11	ua	61970 (1.00%)	790	6166122
12	ca	55035 (0.89%)	320	6166130
13	tr	54114 (0.88%)	445	6164632
14	co	51686 (0.84%)	65	6165909
15	jp	44613 (0.72%)	75	6165872
16	vn	41100 (0.67%)	474	6166125
17	cn	40267 (0.65%)	23	6166174
18	gr	39898 (0.65%)	662	6165186
19	fr	36466 (0.59%)	216	6166136
20	tk	34981 (0.57%)	10078	6165553
21	tw	30669 (0.50%)	363	6166050
22	id	30139 (0.49%)	384	6165828
23	br	29063 (0.47%)	147	6166194
24	io	28736 (0.47%)	87	6165441
25	xyz	27547 (0.45%)	4912	6166198
26	it	27054 (0.44%)	233	6166175
27	nl	26013 (0.42%)	920	6165926
28	pl	23100 (0.37%)	528	6166109
29	za	22625 (0.37%)	1232	6166131
30	us	22182 (0.36%)	31	6166119
31	eu	21748 (0.35%)	53	6166018
32	mx	21307 (0.35%)	401	6165456
33	ch	18206 (0.30%)	1092	6165612
34	biz	18020 (0.29%)	3083	6166104
35	me	17968 (0.29%)	168	6166017
36	il	17696 (0.29%)	2143	6165657
37	es	17073 (0.28%)	227	6165836
38	online	17062 (0.28%)	2581	6165829
39	by	16467 (0.27%)	2914	6165655
40	xn--p1ai	16090 (0.26%)	8714	6164807
41	nz	15561 (0.25%)	1025	6165900
42	kr	15401 (0.25%)	808	6165898
43	cz	12459 (0.20%)	1285	6166111
44	ro	12261 (0.20%)	959	6166179
45	cf	12212 (0.20%)	9369	6166188
46	ar	11978 (0.19%)	542	6165765
47	club	11861 (0.19%)	3479	6166061
48	my	11394 (0.18%)	985	6165584
49	tv	11360 (0.18%)	56	6164921
50	kz	11109 (0.18%)	1464	6163360
51	cl	10957 (0.18%)	975	6165707
52	pk	10867 (0.18%)	1398	6165358
53	pro	10591 (0.17%)	6954	6165637
54	site	10348 (0.17%)	459	6165357
54	th	10348 (0.17%)	478	6166081
55	se	9484 (0.15%)	1422	6166167
56	sg	9409 (0.15%)	343	6165332
57	cc	9291 (0.15%)	1442	6166148
58	be	9227 (0.15%)	22	6166147
59	rs	8786 (0.14%)	2899	6151219
60	top	8697 (0.14%)	3872	6166102
61	ga	7845 (0.13%)	4293	6166162
62	ma	7754 (0.13%)	616	6165235
63	hu	7541 (0.12%)	2008	6165830
64	ae	7486 (0.12%)	1949	6164944
65	su	7452 (0.12%)	3451	6163090
66	dk	7336 (0.12%)	2521	6164817
67	hk	6865 (0.11%)	82	6162965
68	at	6863 (0.11%)	1310	6166028
69	ml	6655 (0.11%)	9015	6165154
70	shop	6621 (0.11%)	30443	6166184
71	store	5766 (0.09%)	8413	6166055
72	ng	5566 (0.09%)	2671	6165082
